,TIMESTAMP,I_RIP_X,I_RIP_Y,S_RIP_X,S_RIP_Y,S_RIP_Z,I_RCP_X,I_RCP_Y,S_RCP_X,S_RCP_Y,S_RCP_Z,S_RCO_A,S_RCO_B,S_RCO_G,S_RC_STEER,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z
0,0.0,199.507457012,112.948180997,-1.11096575025,2.79828107219,0.5,202.086597883,114.209497632,-1.06069009975,2.77369400327,0.0,0.000491726883229,-0.00855718545882,-1.38342483618,0.0,0.150169239208,-0.0282930851693,0.0,0.0,0.0,-0.00120581954885
1,0.02,199.507457012,112.948180997,-1.11096575025,2.79828107219,0.5,202.086695828,114.287882887,-1.06068819048,2.77216602559,0.0,0.000519220833663,-0.008996472757,-1.3834372158,0.0,0.150159288146,-0.02827332815,0.0,0.0,0.0,-0.00121383184271
2,0.03,199.507457012,112.948180997,-1.11096575025,2.79828107219,0.5,202.086800167,114.366262629,-1.06068615659,2.77063815539,0.0,0.000547244940779,-0.00943586395422,-1.38344968168,0.0,0.150151401368,-0.0282572035857,0.0,0.0,0.0,-0.00122076085606
3,0.05,199.507457012,112.948180997,-1.11096575025,2.79828107219,0.5,202.086909578,114.444637965,-1.06068402382,2.76911037105,0.0,0.000575690340771,-0.00987533828261,-1.38346222439,0.0,0.150145158346,-0.0282440091923,0.0,0.0,0.0,-0.00122680527744
4,0.06,199.507457012,112.948180997,-1.11096575025,2.79828107219,0.5,202.087023005,114.523009783,-1.06068181278,2.7675826553,0.0,0.000604469986728,-0.0103148791195,-1.38347483619,0.0,0.150140239025,-0.0282331441666,0.0,0.0,0.0,-0.00123212762325
5,0.07,199.507457012,112.948180997,-1.11096575025,2.79828107219,0.5,202.087139602,114.601378793,-1.06067953992,2.7660549943,0.0,0.000633514275862,-0.0107544731596,-1.38348751077,0.0,0.150136361918,-0.0282241549299,0.0,0.0,0.0,-0.00123686076047
6,0.08,199.507457012,112.948180997,-1.11096575025,2.79828107219,0.5,202.089835793,114.661039236,-1.0606269826,2.76489202269,0.0,0.000174510321192,-0.000869028457485,-1.38344513005,0.0,0.115200524218,-0.0164622330262,0.0,0.0,0.0,0.00394608305638
7,0.11,199.507457012,112.948180997,-1.11096575025,2.79828107219,0.5,202.094164036,114.722654967,-1.06054261139,2.76369093632,0.0,-0.000184087283477,0.00887941633866,-1.38342515466,0.0,0.119582852496,-0.0140844576477,0.0,0.0,0.0,0.00213999892406
8,0.12,199.507457012,112.948180997,-1.11096575025,2.79828107219,0.5,202.112623239,114.78963417,-1.06018278287,2.76238529883,0.0,0.00108805123162,0.0175489049979,-1.38333171594,0.0,0.135000073325,0.0110277175835,0.0,0.0,0.0,0.007664767418
9,0.14,199.507457012,112.948180997,-1.11096575025,2.79828107219,0.5,202.122600804,114.867059359,-1.05998828843,2.7608760359,0.0,0.000113132008,0.0227943189664,-1.3833762796,0.0,0.151927794105,-0.00900015391549,0.0,0.0,0.0,-0.00249908998671
