,TIMESTAMP,I_RIP_X,I_RIP_Y,S_RIP_X,S_RIP_Y,S_RIP_Z,I_RCP_X,I_RCP_Y,S_RCP_X,S_RCP_Y,S_RCP_Z,S_RCO_A,S_RCO_B,S_RCO_G,S_RC_STEER,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z
0,0.02,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,332.422861525,339.056464515,1.4799778075,-1.6092878073,0.0,0.0671786233077,0.176027040943,2.35746507172,0.0,0.230170225223,0.0531585078662,0.0,0.0,0.0,-0.284952866818
1,0.03,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,332.331280749,338.984286605,1.4781926072,-1.60788083052,0.0,0.0703540956159,0.170092534197,2.35472275283,0.0,0.225839643248,0.0268905955571,0.0,0.0,0.0,-0.328932978681
2,0.04,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,332.245190184,338.903426209,1.47651442855,-1.60630460446,0.0,0.0713420925708,0.162951591253,2.35151497312,0.0,0.230192139319,0.00805673880966,0.0,0.0,0.0,-0.337200127998
3,0.05,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,332.161404642,338.811764132,1.4748811821,-1.60451781933,0.0,0.0702372683719,0.154335734483,2.34809233404,0.0,0.241997105318,-0.00918294497267,0.0,0.0,0.0,-0.32486036213
4,0.07,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,332.079031378,338.708940741,1.47327546546,-1.60251346473,0.0,0.0670995311021,0.144180585193,2.34455626818,0.0,0.255657601407,-0.0255609245487,0.0,0.0,0.0,-0.306994000499
5,0.09,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,332.085850271,338.589942143,1.47340838735,-1.60019380396,0.0,0.0538832871679,0.141997837063,2.34114782291,0.0,0.157026529096,-0.171361664996,0.0,0.0,0.0,-0.152140456579
6,0.11,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,332.016385383,338.513081498,1.47205429596,-1.59869554578,0.0,0.050641492249,0.137200423414,2.34006033144,0.0,0.20195015641,-0.00697306281179,0.0,0.0,0.0,-0.0636020325928
7,0.12,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.973381867,338.437747874,1.47121602079,-1.59722705408,0.0,0.0448290055771,0.13489538309,2.33877035518,0.0,0.163840801222,-0.0417874291826,0.0,0.0,0.0,-0.0501031278652
8,0.13,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.894025046,338.379472964,1.46966910421,-1.59609109091,0.0,0.045200006659,0.130515048241,2.33872330147,0.0,0.189252033171,0.0323621741742,0.0,0.0,0.0,-0.00953894769152
9,0.15,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.83915092,338.320418284,1.46859943313,-1.59493992757,0.0,0.0437109153815,0.127986145534,2.33877628164,0.0,0.157130526727,-0.00304293949683,0.0,0.0,0.0,0.0245660811499
10,0.16,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.784426337,338.263130115,1.46753267714,-1.59382319913,0.0,0.0425911493186,0.125736564857,2.33893116106,0.0,0.154456532736,-0.000872773172891,0.0,0.0,0.0,0.0297461691134
11,0.17,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.728856315,338.207475143,1.46644944085,-1.59273830689,0.0,0.0409909182653,0.123831985784,2.3387571131,0.0,0.153302317698,0.00256231522597,0.0,0.0,0.0,0.00252453993495
12,0.19,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.669649658,338.152353288,1.46529531497,-1.59166380678,0.0,0.0397007188693,0.121641483981,2.33853360942,0.0,0.157479139485,0.00842137294526,0.0,0.0,0.0,-0.00654588115041
13,0.21,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.610380546,338.09648462,1.46413997165,-1.59057474892,0.0,0.0384167201667,0.119307086241,2.33830425264,0.0,0.158609902039,0.00753367962058,0.0,0.0,0.0,-0.00749533359862
14,0.22,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.551723608,338.039675885,1.46299656156,-1.58946736618,0.0,0.0370601975882,0.116865208299,2.33808144438,0.0,0.159099710124,0.00543805844574,0.0,0.0,0.0,-0.00629009656496
15,0.23,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.493656219,337.982013005,1.46186464365,-1.58834333342,0.0,0.0356315184936,0.114314061821,2.33786841367,0.0,0.159500458541,0.00348908466022,0.0,0.0,0.0,-0.00481634878027
16,0.23,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.420653294,337.927512122,1.46044158468,-1.58728093805,0.0,0.0366971443909,0.110114246013,2.33780379816,0.0,0.175286550435,0.0287600947939,0.0,0.0,0.0,-0.0184032142757
17,0.23,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.384577246,337.866612279,1.45973834788,-1.58609380661,0.0,0.0334492494351,0.109352024613,2.33757988595,0.0,0.134264160761,-0.0317541822528,0.0,0.0,0.0,0.0132099576095
18,0.24,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.332849361,337.80841212,1.45873000703,-1.58495930059,0.0,0.0317647010597,0.107682175368,2.33739149571,0.0,0.151669588012,-0.00606571071709,0.0,0.0,0.0,-0.000583957483772
19,0.25,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.279522833,337.750206987,1.45769050356,-1.5838246976,0.0,0.0304371067171,0.105895914679,2.33724006,0.0,0.153836003554,-0.00380936492496,0.0,0.0,0.0,-0.000980826217895
20,0.26,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.227103141,337.691934792,1.45666867722,-1.58268878737,0.0,0.0291720966079,0.104250399528,2.33711365998,0.0,0.152702650042,-0.00515572625644,0.0,0.0,0.0,0.000642113463868
21,0.29,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.174955676,337.633799065,1.45565215743,-1.58155553733,0.0,0.0279982262809,0.102737044948,2.33700564795,0.0,0.152142944654,-0.00533688336712,0.0,0.0,0.0,0.0013415043697
22,0.31,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.122772481,337.575869577,1.45463494115,-1.58042630754,0.0,0.0269250329968,0.101345388547,2.33690746843,0.0,0.151901611644,-0.0049927859858,0.0,0.0,0.0,0.00112960617387
23,0.34,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.070485014,337.51816463,1.45361569227,-1.57930145477,0.0,0.0259473971981,0.10007468893,2.33681537185,0.0,0.151727115433,-0.0045287341608,0.0,0.0,0.0,0.000634964314349
24,0.36,334.13580955,345.575784634,1.51336860721,-1.73637007084,0.5,331.036936083,337.458818955,1.45296171702,-1.57814461901,0.0,0.0225315789682,0.100700037493,2.33652152336,0.0,0.128698062684,-0.0330617120378,0.0,0.0,0.0,0.00485722391543
