,TIMESTAMP,I_RIP_X,I_RIP_Y,S_RIP_X,S_RIP_Y,S_RIP_Z,I_RCP_X,I_RCP_Y,S_RCP_X,S_RCP_Y,S_RCP_Z,S_RCO_A,S_RCO_B,S_RCO_G,S_RC_STEER,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z
0,0.04,3.01557901151,492.560261087,-4.9412167834,-4.6015645436,0.5,6.7209794894,493.018060546,-4.86898675459,-4.61048850966,0.0,-0.295539567157,-1.02201315542,0.296171471139,0.0,-0.248337767477,0.0136583324669,0.0,0.0,0.0,0.384079631775
1,0.05,3.01557901151,492.560261087,-4.9412167834,-4.6015645436,0.5,10.5619853371,496.508671668,-4.79411334626,-4.67853161145,0.0,1.49890887658,-1.30618450181,-1.60842968038,0.0,0.203079172388,-0.571601272154,0.0,0.0,0.0,0.436158296798
2,0.05,3.01557901151,492.560261087,-4.9412167834,-4.6015645436,0.5,10.2818570566,496.716635074,-4.79957393652,-4.68258547903,0.0,1.6163174124,-1.2941514859,-1.73390039886,0.0,0.492582667459,-0.482695424563,0.0,0.0,0.0,-1.23243175014
3,0.07,3.01557901151,492.560261087,-4.9412167834,-4.6015645436,0.5,9.98882042558,496.918854,-4.80528615155,-4.68652736842,0.0,1.72563538764,-1.27726636229,-1.84972009293,0.0,0.541568884868,-0.450103646782,0.0,0.0,0.0,-1.09022281854
4,0.08,3.01557901151,492.560261087,-4.9412167834,-4.6015645436,0.5,9.68285077563,497.118332157,-4.81125047221,-4.69041583153,0.0,1.8240620374,-1.2560737988,-1.95352696407,0.0,0.590075560003,-0.417215780031,0.0,0.0,0.0,-0.98851407349
5,0.1,3.01557901151,492.560261087,-4.9412167834,-4.6015645436,0.5,9.3638740681,497.317391688,-4.81746834175,-4.69429613427,0.0,1.91065318284,-1.23119591596,-2.04472274691,0.0,0.636750175275,-0.384907085738,0.0,0.0,0.0,-0.918601324895
6,0.11,3.01557901151,492.560261087,-4.9412167834,-4.6015645436,0.5,9.03181954646,497.517813699,-4.82394113945,-4.69820299608,0.0,1.98573491638,-1.20324174883,-2.12390675681,0.0,0.681087128639,-0.353814430125,0.0,0.0,0.0,-0.873604675879
7,0.12,3.01557901151,492.560261087,-4.9412167834,-4.6015645436,0.5,8.68664958565,497.720947671,-4.83066959872,-4.70216272264,0.0,2.05031741365,-1.17275739693,-2.19230544101,0.0,0.723031279254,-0.324287954459,0.0,0.0,0.0,-0.848062374803
8,0.13,3.01557901151,492.560261087,-4.9412167834,-4.6015645436,0.5,8.32837524253,497.927797506,-4.83765350404,-4.70619488316,0.0,2.10567118931,-1.14020803836,-2.25136089609,0.0,0.762717457506,-0.29645135703,0.0,0.0,0.0,-0.837624846662
9,0.14,3.01557901151,492.560261087,-4.9412167834,-4.6015645436,0.5,7.95706294472,498.13908977,-4.84489156053,-4.71031364074,0.0,2.15307806604,-1.10597858465,-2.30249144992,0.0,0.800329874943,-0.270285447157,0.0,0.0,0.0,-0.838820860479
10,0.16,3.01557901151,492.560261087,-4.9412167834,-4.6015645436,0.5,7.5728358248,498.355328169,-4.85238136794,-4.71452881421,0.0,2.19370989855,-1.07038276669,-2.34697795894,0.0,0.836040831847,-0.245693237869,0.0,0.0,0.0,-0.848876484122
11,0.18,3.01557901151,492.560261087,-4.9412167834,-4.6015645436,0.5,7.17587196503,498.576837218,-4.86011945487,-4.71884672939,0.0,2.22858413387,-1.03367467683,-2.38592535677,0.0,0.869989540541,-0.222543917647,0.0,0.0,0.0,-0.865573341132
12,0.21,3.01557901151,492.560261087,-4.9412167834,-4.6015645436,0.5,6.76640100543,498.803797327,-4.86810134492,-4.72327090307,0.0,2.25855949806,-0.996059900405,-2.42026308906,0.0,0.902279892504,-0.200697359772,0.0,0.0,0.0,-0.887136640462
13,0.22,3.01557901151,492.560261087,-4.9412167834,-4.6015645436,0.5,6.34470003065,499.036273033,-4.87632163683,-4.72780259323,0.0,2.28434973162,-0.957705150132,-2.45076262116,0.0,0.932985326438,-0.180017948668,0.0,0.0,0.0,-0.912146130384
14,0.23,3.01557901151,492.560261087,-4.9412167834,-4.6015645436,0.5,5.80258841944,499.40432485,-4.88688911463,-4.73497709259,0.0,2.32799062217,-0.896444408678,-2.49799041725,0.0,1.04584993861,-0.497037412813,0.0,0.0,0.0,-1.07936671607
15,0.25,3.01557901151,492.560261087,-4.9412167834,-4.6015645436,0.5,5.2084387073,499.531470144,-4.89847098036,-4.73745555836,0.0,2.37640153915,-0.855127311992,-2.54720278321,0.0,1.11401542985,-0.457823001314,0.0,0.0,0.0,-1.20197386637
