,CSV,HEIGHTMAP
0,gravelpit1_evaluation_0.csv,gravelpit1.png
1,gravelpit1_evaluation_1.csv,gravelpit1.png
2,gravelpit1_evaluation_2.csv,gravelpit1.png
3,gravelpit1_evaluation_3.csv,gravelpit1.png
4,gravelpit1_evaluation_4.csv,gravelpit1.png
5,gravelpit1_evaluation_5.csv,gravelpit1.png
6,gravelpit1_evaluation_6.csv,gravelpit1.png
7,gravelpit1_evaluation_7.csv,gravelpit1.png
8,gravelpit1_evaluation_8.csv,gravelpit1.png
9,gravelpit1_evaluation_9.csv,gravelpit1.png
10,gravelpit1_evaluation_10.csv,gravelpit1.png
11,gravelpit1_evaluation_11.csv,gravelpit1.png
12,gravelpit1_evaluation_12.csv,gravelpit1.png
13,gravelpit1_evaluation_13.csv,gravelpit1.png
14,gravelpit1_evaluation_14.csv,gravelpit1.png
15,gravelpit1_evaluation_15.csv,gravelpit1.png
16,gravelpit1_evaluation_16.csv,gravelpit1.png
17,gravelpit1_evaluation_17.csv,gravelpit1.png
18,gravelpit1_evaluation_18.csv,gravelpit1.png
19,gravelpit1_evaluation_19.csv,gravelpit1.png
20,gravelpit1_evaluation_20.csv,gravelpit1.png
21,gravelpit1_evaluation_21.csv,gravelpit1.png
22,gravelpit1_evaluation_22.csv,gravelpit1.png
23,gravelpit1_evaluation_23.csv,gravelpit1.png
24,gravelpit1_evaluation_24.csv,gravelpit1.png
25,gravelpit1_evaluation_25.csv,gravelpit1.png
26,gravelpit1_evaluation_26.csv,gravelpit1.png
27,gravelpit1_evaluation_27.csv,gravelpit1.png
28,gravelpit1_evaluation_28.csv,gravelpit1.png
29,gravelpit1_evaluation_29.csv,gravelpit1.png
30,gravelpit1_evaluation_30.csv,gravelpit1.png
31,gravelpit1_evaluation_31.csv,gravelpit1.png
32,gravelpit1_evaluation_32.csv,gravelpit1.png
33,gravelpit1_evaluation_33.csv,gravelpit1.png
34,gravelpit1_evaluation_34.csv,gravelpit1.png
35,gravelpit1_evaluation_35.csv,gravelpit1.png
36,gravelpit1_evaluation_36.csv,gravelpit1.png
37,gravelpit1_evaluation_37.csv,gravelpit1.png
38,gravelpit1_evaluation_38.csv,gravelpit1.png
39,gravelpit1_evaluation_39.csv,gravelpit1.png
40,gravelpit1_evaluation_40.csv,gravelpit1.png
41,gravelpit1_evaluation_41.csv,gravelpit1.png
42,gravelpit1_evaluation_42.csv,gravelpit1.png
43,gravelpit1_evaluation_43.csv,gravelpit1.png
44,gravelpit1_evaluation_44.csv,gravelpit1.png
45,gravelpit1_evaluation_45.csv,gravelpit1.png
46,gravelpit1_evaluation_46.csv,gravelpit1.png
47,gravelpit1_evaluation_47.csv,gravelpit1.png
48,gravelpit1_evaluation_48.csv,gravelpit1.png
49,gravelpit1_evaluation_49.csv,gravelpit1.png
