,TIMESTAMP,I_RIP_X,I_RIP_Y,S_RIP_X,S_RIP_Y,S_RIP_Z,I_RCP_X,I_RCP_Y,S_RCP_X,S_RCP_Y,S_RCP_Z,S_RCO_A,S_RCO_B,S_RCO_G,S_RC_STEER,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z
0,0.02,402.172202464,267.265311077,2.83961408312,-0.209850118459,0.5,403.040810314,267.096234422,2.85654601002,-0.206554277225,0.0,-0.434197728582,-0.0540214722502,2.92258380009,0.0,0.000708729458682,-0.00373149854076,0.0,0.0,0.0,0.0716459894089
1,0.05,402.172202464,267.265311077,2.83961408312,-0.209850118459,0.5,403.041334589,267.094550276,2.85655622981,-0.206521447866,0.0,-0.425950895356,-0.0438138271191,2.92288045859,0.0,-0.000680214461253,-0.00320020795694,0.0,0.0,0.0,0.0699920888911
2,0.07,402.172202464,267.265311077,2.83961408312,-0.209850118459,0.5,403.042469409,267.093232594,2.85657835105,-0.20649576207,0.0,-0.417708675974,-0.0335833068234,2.92324436648,0.0,-0.0019839614589,-0.00277082072592,0.0,0.0,0.0,0.0682796363984
3,0.1,402.172202464,267.265311077,2.83961408312,-0.209850118459,0.5,403.044187251,267.092229995,2.85661183725,-0.206476218233,0.0,-0.409472708702,-0.0233321674029,2.92367531534,0.0,-0.00321310145806,-0.00242666693504,0.0,0.0,0.0,0.0665298648287
4,0.11,402.172202464,267.265311077,2.83961408312,-0.209850118459,0.5,403.016641746,267.076014202,2.85607488784,-0.206160120896,0.0,-0.396331845139,-0.0112243657075,2.92285522508,0.0,0.0586846215622,-0.0185655422851,0.0,0.0,0.0,-0.0591282597857
5,0.13,402.172202464,267.265311077,2.83961408312,-0.209850118459,0.5,402.963431314,267.028026241,2.85503764745,-0.205224683062,0.0,-0.382478196274,0.000674271507594,2.92170232445,0.0,0.12114983562,-0.0679285197907,0.0,0.0,0.0,-0.107888493243
6,0.14,402.172202464,267.265311077,2.83961408312,-0.209850118459,0.5,402.897376773,266.963097504,2.85375003456,-0.203959015672,0.0,-0.367803270016,0.0129185178089,2.92044929884,0.0,0.152947296838,-0.0944274691215,0.0,0.0,0.0,-0.135211977121
7,0.17,402.172202464,267.265311077,2.83961408312,-0.209850118459,0.5,402.82681852,266.891087358,2.85237463001,-0.202555309128,0.0,-0.351840272265,0.0261687699764,2.91924549142,0.0,0.164653536076,-0.105667244604,0.0,0.0,0.0,-0.15152007886
8,0.19,402.172202464,267.265311077,2.83961408312,-0.209850118459,0.5,402.758107726,266.872115545,2.85103523832,-0.202185488202,0.0,-0.337757605068,0.00887212377941,2.9250142751,0.0,0.218402902097,0.0399202234286,0.0,0.0,0.0,0.643898981333
9,0.21,402.172202464,267.265311077,2.83961408312,-0.209850118459,0.5,402.646934834,266.859854424,2.84886812542,-0.201946480001,0.0,-0.319763597322,-0.000877068353465,2.93112701076,0.0,0.216525280051,0.0234200998052,0.0,0.0,0.0,0.604081987632
10,0.22,402.172202464,267.265311077,2.83961408312,-0.209850118459,0.5,402.548295245,266.855813427,2.84694532642,-0.201867708123,0.0,-0.299284602287,-0.0136748785076,2.93838254918,0.0,0.198883297619,0.0378530325388,0.0,0.0,0.0,0.759000491102
