,TIMESTAMP,I_RIP_X,I_RIP_Y,S_RIP_X,S_RIP_Y,S_RIP_Z,I_RCP_X,I_RCP_Y,S_RCP_X,S_RCP_Y,S_RCP_Z,S_RCO_A,S_RCO_B,S_RCO_G,S_RC_STEER,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z
0,0.02,182.290749884,204.827780158,-1.44657407634,1.00725574741,0.5,183.18678083,205.474146708,-1.42910758617,0.994656009584,0.0,-0.114455798376,-0.196541552314,-2.50719966746,0.0,0.0813195970683,0.0692643069524,0.0,0.0,0.0,-0.337478645949
1,0.04,182.290749884,204.827780158,-1.44657407634,1.00725574741,0.5,183.20796594,205.524375781,-1.42869462105,0.993676885352,0.0,-0.108630197475,-0.195252136392,-2.51083373694,0.0,0.0244535666365,0.103592629611,0.0,0.0,0.0,-0.249820659124
2,0.05,182.290749884,204.827780158,-1.44657407634,1.00725574741,0.5,183.224011055,205.574554056,-1.42838185078,0.992698751338,0.0,-0.101013415872,-0.194366316392,-2.51562542009,0.0,0.0321418585495,0.0976941973219,0.0,0.0,0.0,-0.331740313406
3,0.08,182.290749884,204.827780158,-1.44657407634,1.00725574741,0.5,183.185048587,205.590686281,-1.42914135308,0.992384283012,0.0,-0.101112224428,-0.191622398784,-2.51688690566,0.0,0.0799865108736,-0.0189552796646,0.0,0.0,0.0,-0.128066323182
4,0.09,182.290749884,204.827780158,-1.44657407634,1.00725574741,0.5,183.136173258,205.625834073,-1.43009408855,0.991699140884,0.0,-0.10003157143,-0.189062588615,-2.51733080742,0.0,0.117323217456,-8.20044489257e-05,0.0,0.0,0.0,-0.023943471053
5,0.1,182.290749884,204.827780158,-1.44657407634,1.00725574741,0.5,183.086700519,205.66769035,-1.43105846941,0.990883229053,0.0,-0.097819745933,-0.185822617964,-2.51761727301,0.0,0.125888941419,0.00989721377088,0.0,0.0,0.0,0.012570373545
6,0.13,182.290749884,204.827780158,-1.44657407634,1.00725574741,0.5,183.034990369,205.710195258,-1.43206646454,0.990054673326,0.0,-0.0950556510778,-0.181881077804,-2.5179046484,0.0,0.130161707882,0.00840302511225,0.0,0.0,0.0,0.0217993072106
7,0.13,182.290749884,204.827780158,-1.44657407634,1.00725574741,0.5,182.980183069,205.752252817,-1.43313483296,0.989234837877,0.0,-0.0920020598196,-0.177499171371,-2.51820735272,0.0,0.134556640983,0.00420284253518,0.0,0.0,0.0,0.0243067877827
8,0.15,182.290749884,204.827780158,-1.44657407634,1.00725574741,0.5,182.922975795,205.794009829,-1.4342499845,0.988420861033,0.0,-0.0887626067689,-0.172852344255,-2.51852507743,0.0,0.138017406041,0.00103570200426,0.0,0.0,0.0,0.0246847380278
9,0.16,182.290749884,204.827780158,-1.44657407634,1.00725574741,0.5,182.864360778,205.83559626,-1.43539257743,0.98761020936,0.0,-0.0853993095229,-0.168033141335,-2.51885072186,0.0,0.140056023823,-0.000793285274716,0.0,0.0,0.0,0.0244815748092
10,0.17,182.290749884,204.827780158,-1.44657407634,1.00725574741,0.5,182.808569051,205.877338575,-1.43648013546,0.986796518999,0.0,-0.0817089614259,-0.162762139661,-2.51917998983,0.0,0.135746720523,0.00271646102214,0.0,0.0,0.0,0.0278298166614
