,TIMESTAMP,I_RIP_X,I_RIP_Y,S_RIP_X,S_RIP_Y,S_RIP_Z,I_RCP_X,I_RCP_Y,S_RCP_X,S_RCP_Y,S_RCP_Z,S_RCO_A,S_RCO_B,S_RCO_G,S_RC_STEER,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z
0,0.0,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,249.945978434,23.6529086201,-0.127758704997,4.53892965653,0.0,-0.0993449261068,0.000434700093839,-0.271185531754,0.0,0.150873346057,-0.0042176507337,0.0,0.0,0.0,0.0095555797918
1,0.03,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,250.019918144,23.6749455244,-0.126317385113,4.53850008724,0.0,-0.0993515705052,0.000403936395867,-0.271090700379,0.0,0.150371089619,-0.00279705210707,0.0,0.0,0.0,0.0094836812022
2,0.05,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,250.093939155,23.696544204,-0.1248744804,4.53807906035,0.0,-0.0993560011228,0.00038464434522,-0.27099577639,0.0,0.15029479801,-0.00194542201442,0.0,0.0,0.0,0.00949280705138
3,0.06,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,250.168043295,23.7178873247,-0.123429955257,4.53766301511,0.0,-0.0993591038494,0.000367877637741,-0.270900645789,0.0,0.150317493033,-0.0014361710652,0.0,0.0,0.0,0.00951344652328
4,0.09,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,250.242205047,23.739059613,-0.12198430707,4.53725029994,0.0,-0.0993617647139,0.000351804956024,-0.270805782068,0.0,0.150336502491,-0.00109942617469,0.0,0.0,0.0,0.00948674835068
5,0.1,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,250.316405717,23.7601068672,-0.120537900256,4.53684002208,0.0,-0.0993642845719,0.000336490512609,-0.270711708792,0.0,0.150344330711,-0.000858379953072,0.0,0.0,0.0,0.0094076973581
6,0.1,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,250.390634331,23.7810586476,-0.119090948712,4.53643160531,0.0,-0.099366752739,0.000322010258144,-0.270618838273,0.0,0.150347000953,-0.000678427246571,0.0,0.0,0.0,0.00928742052728
7,0.12,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,250.464883766,23.8019358159,-0.117643591312,4.53602464297,0.0,-0.0993691886541,0.0003083053071,-0.270527476882,0.0,0.150347194814,-0.00054114627341,0.0,0.0,0.0,0.00913650959447
8,0.13,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,250.539148765,23.8227537505,-0.116195930514,4.53561883527,0.0,-0.0993715889011,0.000295291190793,-0.270437851903,0.0,0.150345540754,-0.000435236368435,0.0,0.0,0.0,0.00896287115201
9,0.15,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,250.613425275,23.8435240931,-0.114748045316,4.5352139553,0.0,-0.0993739447959,0.000282898570458,-0.270350129873,0.0,0.150342368628,-0.000353027324566,0.0,0.0,0.0,0.00877257911224
10,0.16,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,250.687710168,23.8642558018,-0.11329999672,4.53480982842,0.0,-0.0993762482913,0.000271072985688,-0.270264428933,0.0,0.15033798839,-0.000288971927411,0.0,0.0,0.0,0.00857047259821
11,0.17,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,250.762001037,23.8849558368,-0.111851831643,4.53440631897,0.0,-0.0993784935247,0.000259769280767,-0.27018082853,0.0,0.150332717098,-0.000238922229935,0.0,0.0,0.0,0.00836042136067
12,0.17,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,250.836296032,23.9056296373,-0.110403586115,4.53400332091,0.0,-0.0993806769311,0.000248948636295,-0.270099377412,0.0,0.150326818162,-0.000199732816349,0.0,0.0,0.0,0.00814549527358
13,0.19,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,250.910593738,23.9262814727,-0.108955287761,4.53360075102,0.0,-0.0993827969013,0.000238577232912,-0.270020100154,0.0,0.150320483496,-0.000168970007908,0.0,0.0,0.0,0.00792811164544
14,0.21,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,250.984893069,23.946914707,-0.107506957711,4.53319854372,0.0,-0.0993848533305,0.000228625412776,-0.269943002405,0.0,0.150313863907,-0.000144768033549,0.0,0.0,0.0,0.00771016298417
15,0.22,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,251.059193201,23.9675320013,-0.106058612059,4.53279664715,0.0,-0.0993868471949,0.000219067001331,-0.269868075088,0.0,0.15030708149,-0.000125659479038,0.0,0.0,0.0,0.00749312228568
16,0.23,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,251.133493509,23.9881354707,-0.104610262988,4.53239502006,0.0,-0.0993887802036,0.000209878742848,-0.269795297739,0.0,0.15030022277,-0.000110530994099,0.0,0.0,0.0,0.00727812777577
17,0.24,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,251.207793522,24.0087268048,-0.103161919658,4.53199362954,0.0,-0.0993906545307,0.000201039838673,-0.269724641184,0.0,0.150293367449,-9.85006432503e-05,0.0,0.0,0.0,0.00706605076808
18,0.25,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,251.282092891,24.0293073614,-0.101713588878,4.5315924491,0.0,-0.099392472617,0.00019253157085,-0.269656069661,0.0,0.150286566091,-8.88913149428e-05,0.0,0.0,0.0,0.00685754999531
19,0.26,246.42078505,23.2709677626,-0.196475924959,4.54637489742,0.5,251.356391359,24.0498782394,-0.100265275646,4.53119145732,0.0,-0.0993942370283,0.000184336993715,-0.269589542512,0.0,0.150279848525,-8.11699465723e-05,0.0,0.0,0.0,0.00665311510579
