,TIMESTAMP,I_RIP_X,I_RIP_Y,S_RIP_X,S_RIP_Y,S_RIP_Z,I_RCP_X,I_RCP_Y,S_RCP_X,S_RCP_Y,S_RCP_Z,S_RCO_A,S_RCO_B,S_RCO_G,S_RC_STEER,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z
0,0.01,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,133.999013866,185.413410359,-2.38793345291,1.38570350178,0.0,1.5793339101,0.576701390707,-1.16345273876,0.0,-1.03623038264,-0.974706726571,0.0,0.0,0.0,1.59627636714
1,0.02,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,133.328319759,185.123582884,-2.4010074121,1.39135316015,0.0,1.58197283315,0.559600232411,-1.14605884763,0.0,-1.05389780538,-0.960722189121,0.0,0.0,0.0,1.59742416561
2,0.05,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,132.655520311,184.834303685,-2.41412241109,1.39699213089,0.0,1.58406322038,0.542455422947,-1.12898328538,0.0,-1.07083650451,-0.946752795064,0.0,0.0,0.0,1.59814120454
3,0.08,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,131.980674398,184.545688491,-2.42727730218,1.40261815807,0.0,1.58562243019,0.525274834632,-1.11220586126,0.0,-1.08707390416,-0.932803307781,0.0,0.0,0.0,1.59843086484
4,0.1,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,131.303842609,184.257851824,-2.44047090431,1.40822900927,0.0,1.58666673024,0.508065974735,-1.09570735164,0.0,-1.10263563606,-0.91887728558,0.0,0.0,0.0,1.59829591303
5,0.1,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,130.625087248,183.970906996,-2.45370200295,1.41382247571,0.0,1.58721136323,0.490836010451,-1.07946944613,0.0,-1.11754565158,-0.904977441757,0.0,0.0,0.0,1.59773871738
6,0.11,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,129.784893204,183.705448394,-2.47008005451,1.41899710732,0.0,1.61345282107,0.458009075125,-1.05508464357,0.0,-1.26540621462,-1.17673991783,0.0,0.0,0.0,1.239451713
7,0.13,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,128.913608653,183.460868513,-2.48706415881,1.42376474633,0.0,1.64872472563,0.415894622716,-1.02969198003,0.0,-1.29583230388,-1.22068809319,0.0,0.0,0.0,1.04611746322
8,0.16,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,128.025937887,183.206243126,-2.50436768251,1.42872820417,0.0,1.68214496201,0.37281280289,-1.00557755098,0.0,-1.35804295013,-1.20548202963,0.0,0.0,0.0,1.12701076728
9,0.16,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,127.121292304,182.941330682,-2.52200209933,1.43389218943,0.0,1.71348719882,0.329055315079,-0.982701689449,0.0,-1.41971231422,-1.19043633196,0.0,0.0,0.0,1.20979715794
10,0.17,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,126.20025296,182.66680524,-2.53995608266,1.43924356258,0.0,1.74286467225,0.2846660899,-0.960936438786,0.0,-1.47829121738,-1.17463273339,0.0,0.0,0.0,1.28886834693
11,0.18,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,125.263466168,182.383373388,-2.55821703376,1.44476854994,0.0,1.77037619072,0.239685192392,-0.940163573679,0.0,-1.53377225451,-1.15812861974,0.0,0.0,0.0,1.36403501574
12,0.18,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,124.311644278,182.091773655,-2.57677106671,1.45045275527,0.0,1.79610728962,0.194149508582,-0.920273369601,0.0,-1.58613847061,-1.14096365584,0.0,0.0,0.0,1.43508699243
13,0.2,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,123.345565479,181.792775297,-2.59560301211,1.4562811833,0.0,1.82013126672,0.148093313834,-0.901163381389,0.0,-1.63536656454,-1.12316317868,0.0,0.0,0.0,1.50180116849
14,0.21,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,122.366072672,181.487176513,-2.61469643914,1.46223827461,0.0,1.84251006978,0.101548746251,-0.882737246576,0.0,-1.68142910358,-1.10473994616,0.0,0.0,0.0,1.5639487048
15,0.23,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,121.374071482,181.175802108,-2.63403369431,1.46830795111,0.0,1.86329501941,0.0545462050881,-0.864903514791,0.0,-1.72429718833,-1.08569679613,0.0,0.0,0.0,1.6213014859
16,0.23,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,120.370527458,180.85950068,-2.65359595598,1.47447367095,0.0,1.88252735675,0.00711469116915,-0.84757449453,0.0,-1.76394376259,-1.06602615855,0.0,0.0,0.0,1.6736378237
17,0.24,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,119.356462572,180.539141374,-2.67336330269,1.48071849173,0.0,1.90023860749,-0.0407178961896,-0.830665101023,0.0,-1.80034545444,-1.04571246438,0.0,0.0,0.0,1.72074743735
18,0.25,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,118.332951066,180.21561028,-2.69331479404,1.48702514074,0.0,1.91645075215,-0.088924493191,-0.814091682542,0.0,-1.83348451589,-1.02473064379,0.0,0.0,0.0,1.76243575067
19,0.27,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,117.301114754,179.889806525,-2.71342856231,1.49337609113,0.0,1.93117618931,-0.13747862535,-0.797770796277,0.0,-1.86335173769,-1.00304670223,0.0,0.0,0.0,1.79852755617
20,0.28,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,116.262117837,179.562638132,-2.73368191351,1.49975364265,0.0,1.9444174714,-0.186354170752,-0.78161789787,0.0,-1.8899472343,-0.98061689994,0.0,0.0,0.0,1.82887009725
21,0.28,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,115.217161318,179.235017684,-2.75405143629,1.50614000616,0.0,1.95616678431,-0.23552512271,-0.765545900052,0.0,-1.91328260397,-0.957386788881,0.0,0.0,0.0,1.85333561971
22,0.29,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,114.167477075,178.90785786,-2.77451311745,1.51251739064,0.0,1.96640512933,-0.284965341341,-0.749463544479,0.0,-1.93338216708,-0.933289030226,0.0,0.0,0.0,1.87182344159
23,0.3,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,113.114321664,178.582066886,-2.79504246269,1.51886809188,0.0,1.97510114955,-0.334648282447,-0.733273515606,0.0,-1.95028401129,-0.908241543565,0.0,0.0,0.0,1.88426158639
24,0.31,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,112.058969915,178.258543942,-2.81561462155,1.52517458204,0.0,1.98220952086,-0.384546689955,-0.716870204512,0.0,-1.96404105182,-0.882144942289,0.0,0.0,0.0,1.89060802133
25,0.32,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,111.002708366,177.938174567,-2.83620451529,1.53141959909,0.0,1.98766879707,-0.434632234894,-0.700137001667,0.0,-1.97472181274,-0.854878227294,0.0,0.0,0.0,1.89085153749
26,0.32,140.628086104,197.205487613,-2.25871177185,1.15583844809,0.5,109.9468286,177.621826111,-2.85678696686,1.53758623566,0.0,1.99139855711,-0.484875078831,-0.682942957217,0.0,-1.98241078956,-0.826294380873,0.0,0.0,0.0,1.88501230511
