,CSV,HEIGHTMAP
0,bars2_training_0.csv,bars2.png
1,bars2_training_1.csv,bars2.png
2,bars2_training_2.csv,bars2.png
3,bars2_training_3.csv,bars2.png
4,bars2_training_4.csv,bars2.png
5,bars2_training_5.csv,bars2.png
6,bars2_training_6.csv,bars2.png
7,bars2_training_7.csv,bars2.png
8,bars2_training_8.csv,bars2.png
9,bars2_training_9.csv,bars2.png
10,bars2_training_10.csv,bars2.png
11,bars2_training_11.csv,bars2.png
12,bars2_training_12.csv,bars2.png
13,bars2_training_13.csv,bars2.png
14,bars2_training_14.csv,bars2.png
15,bars2_training_15.csv,bars2.png
16,bars2_training_16.csv,bars2.png
17,bars2_training_17.csv,bars2.png
18,bars2_training_18.csv,bars2.png
19,bars2_training_19.csv,bars2.png
20,bars2_training_20.csv,bars2.png
21,bars2_training_21.csv,bars2.png
22,bars2_training_22.csv,bars2.png
23,bars2_training_23.csv,bars2.png
24,bars2_training_24.csv,bars2.png
25,bars2_training_25.csv,bars2.png
26,bars2_training_26.csv,bars2.png
27,bars2_training_27.csv,bars2.png
28,bars2_training_28.csv,bars2.png
29,bars2_training_29.csv,bars2.png
30,bars2_training_30.csv,bars2.png
31,bars2_training_31.csv,bars2.png
32,bars2_training_32.csv,bars2.png
33,bars2_training_33.csv,bars2.png
34,bars2_training_34.csv,bars2.png
35,bars2_training_35.csv,bars2.png
36,bars2_training_36.csv,bars2.png
37,bars2_training_37.csv,bars2.png
38,bars2_training_38.csv,bars2.png
39,bars2_training_39.csv,bars2.png
40,bars2_training_40.csv,bars2.png
41,bars2_training_41.csv,bars2.png
42,bars2_training_42.csv,bars2.png
43,bars2_training_43.csv,bars2.png
44,bars2_training_44.csv,bars2.png
45,bars2_training_45.csv,bars2.png
46,bars2_training_46.csv,bars2.png
47,bars2_training_47.csv,bars2.png
48,bars2_training_48.csv,bars2.png
49,bars2_training_49.csv,bars2.png
