,CSV,HEIGHTMAP
0,bumps2_training_0.csv,bumps2.png
1,bumps2_training_1.csv,bumps2.png
2,bumps2_training_2.csv,bumps2.png
3,bumps2_training_3.csv,bumps2.png
4,bumps2_training_4.csv,bumps2.png
5,bumps2_training_5.csv,bumps2.png
6,bumps2_training_6.csv,bumps2.png
7,bumps2_training_7.csv,bumps2.png
8,bumps2_training_8.csv,bumps2.png
9,bumps2_training_9.csv,bumps2.png
10,bumps2_training_10.csv,bumps2.png
11,bumps2_training_11.csv,bumps2.png
12,bumps2_training_12.csv,bumps2.png
13,bumps2_training_13.csv,bumps2.png
14,bumps2_training_14.csv,bumps2.png
15,bumps2_training_15.csv,bumps2.png
16,bumps2_training_16.csv,bumps2.png
17,bumps2_training_17.csv,bumps2.png
18,bumps2_training_18.csv,bumps2.png
19,bumps2_training_19.csv,bumps2.png
20,bumps2_training_20.csv,bumps2.png
21,bumps2_training_21.csv,bumps2.png
22,bumps2_training_22.csv,bumps2.png
23,bumps2_training_23.csv,bumps2.png
24,bumps2_training_24.csv,bumps2.png
25,bumps2_training_25.csv,bumps2.png
26,bumps2_training_26.csv,bumps2.png
27,bumps2_training_27.csv,bumps2.png
28,bumps2_training_28.csv,bumps2.png
29,bumps2_training_29.csv,bumps2.png
30,bumps2_training_30.csv,bumps2.png
31,bumps2_training_31.csv,bumps2.png
32,bumps2_training_32.csv,bumps2.png
33,bumps2_training_33.csv,bumps2.png
34,bumps2_training_34.csv,bumps2.png
35,bumps2_training_35.csv,bumps2.png
36,bumps2_training_36.csv,bumps2.png
37,bumps2_training_37.csv,bumps2.png
38,bumps2_training_38.csv,bumps2.png
39,bumps2_training_39.csv,bumps2.png
40,bumps2_training_40.csv,bumps2.png
41,bumps2_training_41.csv,bumps2.png
42,bumps2_training_42.csv,bumps2.png
43,bumps2_training_43.csv,bumps2.png
44,bumps2_training_44.csv,bumps2.png
45,bumps2_training_45.csv,bumps2.png
46,bumps2_training_46.csv,bumps2.png
47,bumps2_training_47.csv,bumps2.png
48,bumps2_training_48.csv,bumps2.png
49,bumps2_training_49.csv,bumps2.png
