,CSV,HEIGHTMAP
0,custom8_evaluation_0.csv,custom8.png
1,custom8_evaluation_1.csv,custom8.png
2,custom8_evaluation_2.csv,custom8.png
3,custom8_evaluation_3.csv,custom8.png
4,custom8_evaluation_4.csv,custom8.png
5,custom8_evaluation_5.csv,custom8.png
6,custom8_evaluation_6.csv,custom8.png
7,custom8_evaluation_7.csv,custom8.png
8,custom8_evaluation_8.csv,custom8.png
9,custom8_evaluation_9.csv,custom8.png
10,custom8_evaluation_10.csv,custom8.png
11,custom8_evaluation_11.csv,custom8.png
12,custom8_evaluation_12.csv,custom8.png
13,custom8_evaluation_13.csv,custom8.png
14,custom8_evaluation_14.csv,custom8.png
15,custom8_evaluation_15.csv,custom8.png
16,custom8_evaluation_16.csv,custom8.png
17,custom8_evaluation_17.csv,custom8.png
18,custom8_evaluation_18.csv,custom8.png
19,custom8_evaluation_19.csv,custom8.png
20,custom8_evaluation_20.csv,custom8.png
21,custom8_evaluation_21.csv,custom8.png
22,custom8_evaluation_22.csv,custom8.png
23,custom8_evaluation_23.csv,custom8.png
24,custom8_evaluation_24.csv,custom8.png
25,custom8_evaluation_25.csv,custom8.png
26,custom8_evaluation_26.csv,custom8.png
27,custom8_evaluation_27.csv,custom8.png
28,custom8_evaluation_28.csv,custom8.png
29,custom8_evaluation_29.csv,custom8.png
30,custom8_evaluation_30.csv,custom8.png
31,custom8_evaluation_31.csv,custom8.png
32,custom8_evaluation_32.csv,custom8.png
33,custom8_evaluation_33.csv,custom8.png
34,custom8_evaluation_34.csv,custom8.png
35,custom8_evaluation_35.csv,custom8.png
36,custom8_evaluation_36.csv,custom8.png
37,custom8_evaluation_37.csv,custom8.png
38,custom8_evaluation_38.csv,custom8.png
39,custom8_evaluation_39.csv,custom8.png
40,custom8_evaluation_40.csv,custom8.png
41,custom8_evaluation_41.csv,custom8.png
42,custom8_evaluation_42.csv,custom8.png
43,custom8_evaluation_43.csv,custom8.png
44,custom8_evaluation_44.csv,custom8.png
45,custom8_evaluation_45.csv,custom8.png
46,custom8_evaluation_46.csv,custom8.png
47,custom8_evaluation_47.csv,custom8.png
48,custom8_evaluation_48.csv,custom8.png
49,custom8_evaluation_49.csv,custom8.png
