,CSV,HEIGHTMAP
0,gravelpit5_evaluation_0.csv,gravelpit5.png
1,gravelpit5_evaluation_1.csv,gravelpit5.png
2,gravelpit5_evaluation_2.csv,gravelpit5.png
3,gravelpit5_evaluation_3.csv,gravelpit5.png
4,gravelpit5_evaluation_4.csv,gravelpit5.png
5,gravelpit5_evaluation_5.csv,gravelpit5.png
6,gravelpit5_evaluation_6.csv,gravelpit5.png
7,gravelpit5_evaluation_7.csv,gravelpit5.png
8,gravelpit5_evaluation_8.csv,gravelpit5.png
9,gravelpit5_evaluation_9.csv,gravelpit5.png
10,gravelpit5_evaluation_10.csv,gravelpit5.png
11,gravelpit5_evaluation_11.csv,gravelpit5.png
12,gravelpit5_evaluation_12.csv,gravelpit5.png
13,gravelpit5_evaluation_13.csv,gravelpit5.png
14,gravelpit5_evaluation_14.csv,gravelpit5.png
15,gravelpit5_evaluation_15.csv,gravelpit5.png
16,gravelpit5_evaluation_16.csv,gravelpit5.png
17,gravelpit5_evaluation_17.csv,gravelpit5.png
18,gravelpit5_evaluation_18.csv,gravelpit5.png
19,gravelpit5_evaluation_19.csv,gravelpit5.png
20,gravelpit5_evaluation_20.csv,gravelpit5.png
21,gravelpit5_evaluation_21.csv,gravelpit5.png
22,gravelpit5_evaluation_22.csv,gravelpit5.png
23,gravelpit5_evaluation_23.csv,gravelpit5.png
24,gravelpit5_evaluation_24.csv,gravelpit5.png
25,gravelpit5_evaluation_25.csv,gravelpit5.png
26,gravelpit5_evaluation_26.csv,gravelpit5.png
27,gravelpit5_evaluation_27.csv,gravelpit5.png
28,gravelpit5_evaluation_28.csv,gravelpit5.png
29,gravelpit5_evaluation_29.csv,gravelpit5.png
30,gravelpit5_evaluation_30.csv,gravelpit5.png
31,gravelpit5_evaluation_31.csv,gravelpit5.png
32,gravelpit5_evaluation_32.csv,gravelpit5.png
33,gravelpit5_evaluation_33.csv,gravelpit5.png
34,gravelpit5_evaluation_34.csv,gravelpit5.png
35,gravelpit5_evaluation_35.csv,gravelpit5.png
36,gravelpit5_evaluation_36.csv,gravelpit5.png
37,gravelpit5_evaluation_37.csv,gravelpit5.png
38,gravelpit5_evaluation_38.csv,gravelpit5.png
39,gravelpit5_evaluation_39.csv,gravelpit5.png
40,gravelpit5_evaluation_40.csv,gravelpit5.png
41,gravelpit5_evaluation_41.csv,gravelpit5.png
42,gravelpit5_evaluation_42.csv,gravelpit5.png
43,gravelpit5_evaluation_43.csv,gravelpit5.png
44,gravelpit5_evaluation_44.csv,gravelpit5.png
45,gravelpit5_evaluation_45.csv,gravelpit5.png
46,gravelpit5_evaluation_46.csv,gravelpit5.png
47,gravelpit5_evaluation_47.csv,gravelpit5.png
48,gravelpit5_evaluation_48.csv,gravelpit5.png
49,gravelpit5_evaluation_49.csv,gravelpit5.png
