,CSV,HEIGHTMAP
0,holes1_training_0.csv,holes1.png
1,holes1_training_1.csv,holes1.png
2,holes1_training_2.csv,holes1.png
3,holes1_training_3.csv,holes1.png
4,holes1_training_4.csv,holes1.png
5,holes1_training_5.csv,holes1.png
6,holes1_training_6.csv,holes1.png
7,holes1_training_7.csv,holes1.png
8,holes1_training_8.csv,holes1.png
9,holes1_training_9.csv,holes1.png
10,holes1_training_10.csv,holes1.png
11,holes1_training_11.csv,holes1.png
12,holes1_training_12.csv,holes1.png
13,holes1_training_13.csv,holes1.png
14,holes1_training_14.csv,holes1.png
15,holes1_training_15.csv,holes1.png
16,holes1_training_16.csv,holes1.png
17,holes1_training_17.csv,holes1.png
18,holes1_training_18.csv,holes1.png
19,holes1_training_19.csv,holes1.png
20,holes1_training_20.csv,holes1.png
21,holes1_training_21.csv,holes1.png
22,holes1_training_22.csv,holes1.png
23,holes1_training_23.csv,holes1.png
24,holes1_training_24.csv,holes1.png
25,holes1_training_25.csv,holes1.png
26,holes1_training_26.csv,holes1.png
27,holes1_training_27.csv,holes1.png
28,holes1_training_28.csv,holes1.png
29,holes1_training_29.csv,holes1.png
30,holes1_training_30.csv,holes1.png
31,holes1_training_31.csv,holes1.png
32,holes1_training_32.csv,holes1.png
33,holes1_training_33.csv,holes1.png
34,holes1_training_34.csv,holes1.png
35,holes1_training_35.csv,holes1.png
36,holes1_training_36.csv,holes1.png
37,holes1_training_37.csv,holes1.png
38,holes1_training_38.csv,holes1.png
39,holes1_training_39.csv,holes1.png
40,holes1_training_40.csv,holes1.png
41,holes1_training_41.csv,holes1.png
42,holes1_training_42.csv,holes1.png
43,holes1_training_43.csv,holes1.png
44,holes1_training_44.csv,holes1.png
45,holes1_training_45.csv,holes1.png
46,holes1_training_46.csv,holes1.png
47,holes1_training_47.csv,holes1.png
48,holes1_training_48.csv,holes1.png
49,holes1_training_49.csv,holes1.png
