,TIMESTAMP,I_RIP_X,I_RIP_Y,S_RIP_X,S_RIP_Y,S_RIP_Z,I_RCP_X,I_RCP_Y,S_RCP_X,S_RCP_Y,S_RCP_Z,S_RCO_A,S_RCO_B,S_RCO_G,S_RC_STEER,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z
0,0.02,306.946044131,416.044270887,0.983353686767,-3.11002477362,0.5,312.832524628,413.592150566,1.09809989529,-3.06222515723,0.0,-0.282465281683,-0.371439933731,1.27954592603,0.0,0.168235351354,0.00332402849029,0.0,0.0,0.0,0.358055309852
1,0.04,306.946044131,416.044270887,0.983353686767,-3.11002477362,0.5,312.855436362,413.508583586,1.09854651778,-3.06059617127,0.0,-0.27855511866,-0.378047671164,1.28178839685,0.0,0.168647840376,0.00380589595043,0.0,0.0,0.0,0.367387280117
2,0.07,306.946044131,416.044270887,0.983353686767,-3.11002477362,0.5,312.878018068,413.424650813,1.09898670698,-3.05896005483,0.0,-0.274514534878,-0.384873385736,1.28405930437,0.0,0.169139905182,0.00424914747118,0.0,0.0,0.0,0.37752795088
3,0.08,306.946044131,416.044270887,0.983353686767,-3.11002477362,0.5,312.900256654,413.340320051,1.09942020769,-3.05731618032,0.0,-0.270336963921,-0.391931668826,1.28636202168,0.0,0.16968593265,0.00472749323404,0.0,0.0,0.0,0.388497425973
4,0.1,306.946044131,416.044270887,0.983353686767,-3.11002477362,0.5,312.922115196,413.255561202,1.09984630011,-3.05566396104,0.0,-0.266015195098,-0.399237804511,1.28869956238,0.0,0.170269139271,0.00528354601412,0.0,0.0,0.0,0.400310203275
5,0.12,306.946044131,416.044270887,0.983353686767,-3.11002477362,0.5,312.943543707,413.170346467,1.10026400988,-3.05400285512,0.0,-0.261541433922,-0.406807651505,1.2910745502,0.0,0.170878586245,0.00593973244677,0.0,0.0,0.0,0.412978732249
6,0.13,306.946044131,416.044270887,0.983353686767,-3.11002477362,0.5,312.964485668,413.084650341,1.10067223524,-3.05233236532,0.0,-0.256907350142,-0.414657595257,1.2934892088,0.0,0.171507019236,0.00670645743145,0.0,0.0,0.0,0.426515895221
7,0.15,306.946044131,416.044270887,0.983353686767,-3.11002477362,0.5,312.984881638,412.998449488,1.1010698175,-3.0506520368,0.0,-0.252104096505,-0.422804545532,1.29594535649,0.0,0.172149424989,0.00758753749048,0.0,0.0,0.0,0.440936731534
8,0.16,306.946044131,416.044270887,0.983353686767,-3.11002477362,0.5,313.004670988,412.911722624,1.10145557482,-3.04896145466,0.0,-0.247122304501,-0.431265961084,1.2984443991,0.0,0.172801989674,0.00858369699538,0.0,0.0,0.0,0.456259368688
9,0.19,306.946044131,416.044270887,0.983353686767,-3.11002477362,0.5,313.0237925,412.824450442,1.10182831385,-3.04726024253,0.0,-0.241952064559,-0.440059889506,1.30098731758,0.0,0.173461300946,0.00969463740987,0.0,0.0,0.0,0.472505385244
10,0.2,306.946044131,416.044270887,0.983353686767,-3.11002477362,0.5,313.042184291,412.736615616,1.10218682828,-3.04554806269,0.0,-0.236582894166,-0.449205015021,1.30357464737,0.0,0.174123899963,0.0109203574512,0.0,0.0,0.0,0.489699860529
11,0.23,306.946044131,416.044270887,0.983353686767,-3.11002477362,0.5,313.059783367,412.6482029,1.1025298902,-3.04382461794,0.0,-0.231003695052,-0.458720709838,1.30620644807,0.0,0.174785883023,0.0122617030614,0.0,0.0,0.0,0.507871273308
12,0.24,306.946044131,416.044270887,0.983353686767,-3.11002477362,0.5,313.091623376,412.67330725,1.10315055314,-3.04431398148,0.0,-0.233209835052,-0.461054900963,1.30130195597,0.0,-0.0310935318059,-0.0728709016923,0.0,0.0,0.0,-0.589318749474
13,0.27,306.946044131,416.044270887,0.983353686767,-3.11002477362,0.5,313.11878297,412.691893218,1.10367997992,-3.04467628106,0.0,-0.232972520413,-0.462902401994,1.29542835044,0.0,-0.0206072248421,-0.0607827175287,0.0,0.0,0.0,-0.576748482444
14,0.29,306.946044131,416.044270887,0.983353686767,-3.11002477362,0.5,313.148773852,412.70800062,1.10426459751,-3.04499026551,0.0,-0.230679149953,-0.464121697598,1.28877869365,0.0,-0.013931051777,-0.0648435557883,0.0,0.0,0.0,-0.562392419847
15,0.31,306.946044131,416.044270887,0.983353686767,-3.11002477362,0.5,313.185204138,412.72203767,1.10497473952,-3.04526389221,0.0,-0.226502061732,-0.464678983791,1.28146388473,0.0,-0.00592953503533,-0.0757738461292,0.0,0.0,0.0,-0.544352236332
