,TIMESTAMP,I_RIP_X,I_RIP_Y,S_RIP_X,S_RIP_Y,S_RIP_Z,I_RCP_X,I_RCP_Y,S_RCP_X,S_RCP_Y,S_RCP_Z,S_RCO_A,S_RCO_B,S_RCO_G,S_RC_STEER,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z
0,0.02,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,338.347088371,221.404420576,1.5954598123,0.684124355243,0.0,0.00306277290503,-0.0182689052074,-2.70808003028,0.0,0.139518240919,-0.0390774889521,0.0,0.0,0.0,-0.000284166493329
1,0.03,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,338.273719221,221.416293658,1.59402961444,0.683892911157,0.0,0.00323729107549,-0.0191894978621,-2.70808627581,0.0,0.139512025652,-0.0390727735634,0.0,0.0,0.0,-0.000297713243436
2,0.04,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,338.236366034,221.421283257,1.59330148215,0.683795648006,0.0,0.000247804110169,-0.00122995555715,-2.70737909731,0.0,0.0701367997728,-0.0217913381192,0.0,0.0,0.0,0.0677613110957
3,0.06,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,338.177764999,221.451492578,1.59215916178,0.683206772353,0.0,-0.000249844719519,0.0111588399466,-2.70748912969,0.0,0.128428649182,0.00542313722726,0.0,0.0,0.0,-0.010774020735
4,0.07,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,338.117944398,221.483223064,1.59099306819,0.682588244375,0.0,-0.000165050471949,0.0216547543155,-2.70764726987,0.0,0.131833708486,0.00711916441813,0.0,0.0,0.0,-0.0159524960529
5,0.09,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,338.05414072,221.514402765,1.58974933178,0.681980452922,0.0,-0.000110179337826,0.029910186762,-2.70773514027,0.0,0.138425387406,0.00287828299637,0.0,0.0,0.0,-0.00893816271621
6,0.1,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,337.987152871,221.545801995,1.58844352576,0.681368382163,0.0,-7.2306855277e-05,0.0358482793003,-2.70777752055,0.0,0.144232513698,0.000658311468068,0.0,0.0,0.0,-0.00437493441583
7,0.11,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,337.917698104,221.577836893,1.58708963165,0.680743920215,0.0,-3.86919181378e-05,0.0394946807029,-2.70779305707,0.0,0.149110858504,-0.000237929981249,0.0,0.0,0.0,-0.00169149932027
8,0.12,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,337.846107478,221.610698812,1.58569410289,0.680103337001,0.0,-1.10272786289e-05,0.040863611957,-2.70779610153,0.0,0.153562453133,-0.00052465292909,0.0,0.0,0.0,-0.000425034006669
9,0.13,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,337.772514717,221.644506691,1.58425954615,0.679444314007,0.0,1.05875384434e-05,0.039959133798,-2.70779561883,0.0,0.157878380048,-0.000491467843135,0.0,0.0,0.0,-4.6811858084e-05
10,0.14,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,337.69690906,221.679341225,1.58278575165,0.678765278271,0.0,2.70130182094e-05,0.0367789476317,-2.70779654255,0.0,0.162282969612,-0.000324232090611,0.0,0.0,0.0,-0.000161779508137
11,0.16,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,337.619152365,221.715280085,1.58127002662,0.678064715699,0.0,3.93147126661e-05,0.0313147415521,-2.70780105272,0.0,0.166997980179,-0.000132493844717,0.0,0.0,0.0,-0.00049835477853
12,0.17,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,337.538989795,221.752424614,1.57970740342,0.677340650806,0.0,4.84980991635e-05,0.0235520387199,-2.70780965413,0.0,0.172246877695,3.01185871408e-05,0.0,0.0,0.0,-0.000890224239779
13,0.19,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,337.456056312,221.790916417,1.57809076632,0.676590323255,0.0,5.5402110448e-05,0.0134700673654,-2.70782197148,0.0,0.178253895308,0.000144627690456,0.0,0.0,0.0,-0.00124912328573
14,0.21,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,337.369879698,221.830946526,1.57641091028,0.675810009236,0.0,6.06713896348e-05,0.00104161973425,-2.70783727068,0.0,0.185244007851,0.000210677318487,0.0,0.0,0.0,-0.00153826239761
15,0.23,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,337.279881172,221.872759755,1.57465655307,0.674994936555,0.0,6.47720075242e-05,-0.0137671277945,-2.70785476226,0.0,0.193443017436,0.000236135678348,0.0,0.0,0.0,-0.00175110227619
16,0.24,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,337.243725871,221.886509126,1.57395177136,0.674726917627,0.0,0.00016270599354,-0.00724170596336,-2.70764650352,0.0,0.0751316952809,-0.00526135238982,0.0,0.0,0.0,0.0209832790116
17,0.25,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,337.204413221,221.901283191,1.57318544291,0.674438924157,0.0,0.000227853348508,-0.000875298351583,-2.70744426505,0.0,0.0816360630107,-0.00611841286899,0.0,0.0,0.0,0.0202502874314
18,0.27,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,337.16515069,221.91605371,1.57242009142,0.674150999796,0.0,0.000296215144664,0.00549228271022,-2.70724101955,0.0,0.0815455515812,-0.0061002103482,0.0,0.0,0.0,0.0203087690434
19,0.27,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,337.12592463,221.930819732,1.57165545088,0.67386316312,0.0,0.000367314208467,0.0118607386835,-2.70703686695,0.0,0.0814783926427,-0.00609492857646,0.0,0.0,0.0,0.0203535708507
20,0.29,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,337.086723829,221.945580628,1.57089130271,0.673575426364,0.0,0.000440769698754,0.0182298431184,-2.70683188562,0.0,0.0814305506343,-0.00610000397165,0.0,0.0,0.0,0.0203876212939
21,0.3,337.418725447,221.120424091,1.57736306915,0.6896603491,0.5,336.997725586,221.984711557,1.56915644416,0.672812640207,0.0,0.000128330461701,0.0117472188659,-2.70678668649,0.0,0.189522092929,-0.00386345541541,0.0,0.0,0.0,0.00496282348018
