ID,CSV,HEIGHTMAP
0,custom2_evaluation_0.csv,custom2.png
1,custom2_evaluation_1.csv,custom2.png
2,custom2_evaluation_2.csv,custom2.png
3,custom2_evaluation_3.csv,custom2.png
4,custom2_evaluation_4.csv,custom2.png
5,custom2_evaluation_5.csv,custom2.png
6,custom2_evaluation_6.csv,custom2.png
7,custom2_evaluation_7.csv,custom2.png
8,custom2_evaluation_8.csv,custom2.png
9,custom2_evaluation_9.csv,custom2.png
10,custom2_evaluation_10.csv,custom2.png
11,custom2_evaluation_11.csv,custom2.png
12,custom2_evaluation_12.csv,custom2.png
13,custom2_evaluation_13.csv,custom2.png
14,custom2_evaluation_14.csv,custom2.png
15,custom2_evaluation_15.csv,custom2.png
16,custom2_evaluation_16.csv,custom2.png
17,custom2_evaluation_17.csv,custom2.png
18,custom2_evaluation_18.csv,custom2.png
19,custom2_evaluation_19.csv,custom2.png
20,custom2_evaluation_20.csv,custom2.png
21,custom2_evaluation_21.csv,custom2.png
22,custom2_evaluation_22.csv,custom2.png
23,custom2_evaluation_23.csv,custom2.png
24,custom2_evaluation_24.csv,custom2.png
25,custom2_evaluation_25.csv,custom2.png
26,custom2_evaluation_26.csv,custom2.png
27,custom2_evaluation_27.csv,custom2.png
28,custom2_evaluation_28.csv,custom2.png
29,custom2_evaluation_29.csv,custom2.png
30,custom2_evaluation_30.csv,custom2.png
31,custom2_evaluation_31.csv,custom2.png
32,custom2_evaluation_32.csv,custom2.png
33,custom2_evaluation_33.csv,custom2.png
34,custom2_evaluation_34.csv,custom2.png
35,custom2_evaluation_35.csv,custom2.png
36,custom2_evaluation_36.csv,custom2.png
37,custom2_evaluation_37.csv,custom2.png
38,custom2_evaluation_38.csv,custom2.png
39,custom2_evaluation_39.csv,custom2.png
40,custom2_evaluation_40.csv,custom2.png
41,custom2_evaluation_41.csv,custom2.png
42,custom2_evaluation_42.csv,custom2.png
43,custom2_evaluation_43.csv,custom2.png
44,custom2_evaluation_44.csv,custom2.png
45,custom2_evaluation_45.csv,custom2.png
46,custom2_evaluation_46.csv,custom2.png
47,custom2_evaluation_47.csv,custom2.png
48,custom2_evaluation_48.csv,custom2.png
49,custom2_evaluation_49.csv,custom2.png
