,CSV,HEIGHTMAP
0,holes2_training_0.csv,holes2.png
1,holes2_training_1.csv,holes2.png
2,holes2_training_2.csv,holes2.png
3,holes2_training_3.csv,holes2.png
4,holes2_training_4.csv,holes2.png
5,holes2_training_5.csv,holes2.png
6,holes2_training_6.csv,holes2.png
7,holes2_training_7.csv,holes2.png
8,holes2_training_8.csv,holes2.png
9,holes2_training_9.csv,holes2.png
10,holes2_training_10.csv,holes2.png
11,holes2_training_11.csv,holes2.png
12,holes2_training_12.csv,holes2.png
13,holes2_training_13.csv,holes2.png
14,holes2_training_14.csv,holes2.png
15,holes2_training_15.csv,holes2.png
16,holes2_training_16.csv,holes2.png
17,holes2_training_17.csv,holes2.png
18,holes2_training_18.csv,holes2.png
19,holes2_training_19.csv,holes2.png
20,holes2_training_20.csv,holes2.png
21,holes2_training_21.csv,holes2.png
22,holes2_training_22.csv,holes2.png
23,holes2_training_23.csv,holes2.png
24,holes2_training_24.csv,holes2.png
25,holes2_training_25.csv,holes2.png
26,holes2_training_26.csv,holes2.png
27,holes2_training_27.csv,holes2.png
28,holes2_training_28.csv,holes2.png
29,holes2_training_29.csv,holes2.png
30,holes2_training_30.csv,holes2.png
31,holes2_training_31.csv,holes2.png
32,holes2_training_32.csv,holes2.png
33,holes2_training_33.csv,holes2.png
34,holes2_training_34.csv,holes2.png
35,holes2_training_35.csv,holes2.png
36,holes2_training_36.csv,holes2.png
37,holes2_training_37.csv,holes2.png
38,holes2_training_38.csv,holes2.png
39,holes2_training_39.csv,holes2.png
40,holes2_training_40.csv,holes2.png
41,holes2_training_41.csv,holes2.png
42,holes2_training_42.csv,holes2.png
43,holes2_training_43.csv,holes2.png
44,holes2_training_44.csv,holes2.png
45,holes2_training_45.csv,holes2.png
46,holes2_training_46.csv,holes2.png
47,holes2_training_47.csv,holes2.png
48,holes2_training_48.csv,holes2.png
49,holes2_training_49.csv,holes2.png
