,CSV,HEIGHTMAP
0,slope_rocks1_training_0.csv,slope_rocks1.png
1,slope_rocks1_training_1.csv,slope_rocks1.png
2,slope_rocks1_training_2.csv,slope_rocks1.png
3,slope_rocks1_training_3.csv,slope_rocks1.png
4,slope_rocks1_training_4.csv,slope_rocks1.png
5,slope_rocks1_training_5.csv,slope_rocks1.png
6,slope_rocks1_training_6.csv,slope_rocks1.png
7,slope_rocks1_training_7.csv,slope_rocks1.png
8,slope_rocks1_training_8.csv,slope_rocks1.png
9,slope_rocks1_training_9.csv,slope_rocks1.png
10,slope_rocks1_training_10.csv,slope_rocks1.png
11,slope_rocks1_training_11.csv,slope_rocks1.png
12,slope_rocks1_training_12.csv,slope_rocks1.png
13,slope_rocks1_training_13.csv,slope_rocks1.png
14,slope_rocks1_training_14.csv,slope_rocks1.png
15,slope_rocks1_training_15.csv,slope_rocks1.png
16,slope_rocks1_training_16.csv,slope_rocks1.png
17,slope_rocks1_training_17.csv,slope_rocks1.png
18,slope_rocks1_training_18.csv,slope_rocks1.png
19,slope_rocks1_training_19.csv,slope_rocks1.png
20,slope_rocks1_training_20.csv,slope_rocks1.png
21,slope_rocks1_training_21.csv,slope_rocks1.png
22,slope_rocks1_training_22.csv,slope_rocks1.png
23,slope_rocks1_training_23.csv,slope_rocks1.png
24,slope_rocks1_training_24.csv,slope_rocks1.png
25,slope_rocks1_training_25.csv,slope_rocks1.png
26,slope_rocks1_training_26.csv,slope_rocks1.png
27,slope_rocks1_training_27.csv,slope_rocks1.png
28,slope_rocks1_training_28.csv,slope_rocks1.png
29,slope_rocks1_training_29.csv,slope_rocks1.png
30,slope_rocks1_training_30.csv,slope_rocks1.png
31,slope_rocks1_training_31.csv,slope_rocks1.png
32,slope_rocks1_training_32.csv,slope_rocks1.png
33,slope_rocks1_training_33.csv,slope_rocks1.png
34,slope_rocks1_training_34.csv,slope_rocks1.png
35,slope_rocks1_training_35.csv,slope_rocks1.png
36,slope_rocks1_training_36.csv,slope_rocks1.png
37,slope_rocks1_training_37.csv,slope_rocks1.png
38,slope_rocks1_training_38.csv,slope_rocks1.png
39,slope_rocks1_training_39.csv,slope_rocks1.png
40,slope_rocks1_training_40.csv,slope_rocks1.png
41,slope_rocks1_training_41.csv,slope_rocks1.png
42,slope_rocks1_training_42.csv,slope_rocks1.png
43,slope_rocks1_training_43.csv,slope_rocks1.png
44,slope_rocks1_training_44.csv,slope_rocks1.png
45,slope_rocks1_training_45.csv,slope_rocks1.png
46,slope_rocks1_training_46.csv,slope_rocks1.png
47,slope_rocks1_training_47.csv,slope_rocks1.png
48,slope_rocks1_training_48.csv,slope_rocks1.png
49,slope_rocks1_training_49.csv,slope_rocks1.png
