,TIMESTAMP,ROS_TIMESTAMP,I_RIP_X,I_RIP_Y,S_RIP_X,S_RIP_Y,S_RIP_Z,I_RCP_X,I_RCP_Y,S_RCP_X,S_RCP_Y,S_RCP_Z,S_RCO_A,S_RCO_B,S_RCO_G,S_RC_T_STEER,S_RC_T_LV_X,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z,S_RCS_FLW,S_RCS_FRW,S_RCS_BLW,S_RCS_BRW,S_RCS_BL,S_RPW,S_REN
0,0.0,325830000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.6916879351577,260.0651038255185,-0.6395382468780175,-0.06949520127716477,2.876590104789909,0.01992713553127324,-0.020298843483843955,2.538159961736654,-1.7,0.0,-0.04608062370383496,0.0037027826270475683,-0.07720707640894707,-0.1936907130358514,-0.0035843045780135363,-0.5525461662106131,False,True,True,False,False,40.00355529785156,8325.314453125
1,0.009,325839000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.65457879254208,260.0240004293981,-0.6402616219777374,-0.0686939654853428,2.8782946963232003,0.013537327691238046,-0.024651926970755935,2.534414573698029,-1.7,0.0,-0.08282429923195064,0.017302413922540397,-0.08388704343262476,0.0008825003550746446,0.09487193329691196,-0.45540496593837015,False,True,False,False,False,8.615086555480957,8325.400390625
2,0.018,325848000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.61939563575703,260.0035900621341,-0.6409474534940156,-0.06829610257571321,2.877587880013493,0.009928668588423712,-0.02753649892181927,2.530427815764164,-1.7,0.0,-0.06779061663529386,0.03330682039012946,-0.13827831942750649,0.2772564937465408,0.022914859851358063,-0.4984969742931491,False,True,False,False,False,17.129512786865234,8325.5712890625
3,0.03,325860000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.59639236314428,259.97031716991296,-0.641395860367558,-0.06764750818543806,2.8755215476878613,0.0031755308501864215,-0.030722331765072178,2.5234262074592877,-1.7,0.0,-0.025335249411155107,0.05700122287835011,-0.21271058888256925,0.6462885865722521,-0.14998192371158398,-0.6447364594837582,False,True,False,False,False,13.949073791503906,8325.7109375
4,0.039,325869000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.55380528652103,259.9643757914762,-0.6422260178066076,-0.06753169184164189,2.873925780105397,0.0004165202939361059,-0.036581582682041924,2.516637335795676,-1.7,0.0,-0.13638989991505068,-0.03283499550471844,-0.1570722058486332,0.4367777265368685,0.7200529403518641,-0.8717744873482597,True,True,False,False,False,40.779754638671875,8326.119140625
5,0.048,325878000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.48997078182398,259.98432384190477,-0.6434703551301367,-0.06792054272718875,2.872668490782229,0.0002207051433227485,-0.046225092937927745,2.507892945532066,-1.7,0.0,-0.13507952805006138,-0.06666167541648513,-0.16306588843718228,0.548588815290162,0.8833957237522734,-1.0094828736744472,True,True,False,False,False,23.737871170043945,8326.3564453125
6,0.06,325890000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.42677231973227,260.1846117776888,-0.6447022939623345,-0.07182479098808678,2.8759756304651027,0.023240869986435875,-0.04536449639107765,2.497557520069317,-1.7,0.0,-0.011919485311975092,-0.05749003679260969,-0.09251242995122239,0.2773192311538297,0.5955724449637771,-0.7410418043594933,False,True,True,False,False,25.957080841064453,8326.6162109375
7,0.069,325899000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.44974225716666,260.21615474217947,-0.6442545368973361,-0.07243966359024338,2.8781811061107088,0.028955879273953086,-0.04673563135953481,2.492128580280962,-1.7,0.0,0.07458611648731006,-0.021195841410946083,-0.06424164883790723,0.18239826663231679,0.3346974331956788,-0.5722130159416086,False,True,True,False,False,21.59638023376465,8326.83203125
8,0.078,325908000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.48598624185772,260.21743572503715,-0.6435480264745088,-0.07246463401631864,2.8787803468817725,0.030874285805753875,-0.04939041851217582,2.4875415975408073,-1.7,0.0,0.07274226763807906,-0.026002520224533993,-0.06524095070839424,0.13941394989679,0.35388970398944425,-0.474424531526942,False,True,True,False,False,21.249141693115234,8327.044921875
9,0.09,325920000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.5244526370705,260.22391750170686,-0.642798194209152,-0.07259098443873041,2.878970589608026,0.033342933784128996,-0.05381757347912987,2.482196981569112,-1.7,0.0,0.0432134123383056,-0.03207611409040913,-0.06860102331512007,0.10876906894595093,0.47056346032952406,-0.41767212654991415,False,True,True,False,False,29.019210815429688,8327.3349609375
10,0.099,325929000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.53187216369713,260.2357445798894,-0.6426535640604848,-0.07282153177172308,2.8789589071554436,0.035797237660954793,-0.05854046481703226,2.4775782149546592,-1.7,0.0,0.0040270266565367585,-0.03653001868347379,-0.06286810377925045,0.081706937304326,0.6186790468670614,-0.47696256763552247,False,True,True,False,False,32.303382873535156,8327.658203125
11,0.108,325938000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.52439227687083,260.2510394704629,-0.6427993708212316,-0.07311967778680085,2.8789560886103036,0.038883189598272576,-0.06414372090185638,2.472390985392041,-1.7,0.0,-0.024175201717573938,-0.03936114916198766,-0.057282695666124754,0.0695497687535466,0.7292977197807653,-0.5213276409894126,False,True,True,False,False,30.627412796020508,8327.96484375
12,0.12,325950000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.50401398292476,260.2728888612387,-0.6431966085199853,-0.0735455918370119,2.878980930620532,0.04363681147587291,-0.07226238280222738,2.464938265190765,-1.7,0.0,-0.036685020529654305,-0.0404295352847312,-0.0517099294569437,0.07200513990080129,0.7911659340118008,-0.5566131364355071,False,True,True,False,False,28.620092391967773,8328.2509765625
13,0.129,325959000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.48610660014327,260.2899556969428,-0.6435456803090974,-0.07387827869284144,2.8790477362142104,0.047491014901570254,-0.07858099038850233,2.4592289144179005,-1.7,0.0,-0.038943631843390586,-0.041078342841454195,-0.05165474257131808,0.08015657226001228,0.8133204803144767,-0.548760007400656,False,True,True,False,False,27.55571174621582,8328.5263671875
14,0.138,325968000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.4674374103777,260.3070985957439,-0.6439096021368871,-0.07421244826011661,2.879095599743459,0.051429662294948185,-0.08508508130290394,2.4534358887505427,-1.7,0.0,-0.0407140932155797,-0.04177218272420378,-0.049617593408074284,0.08503308715077279,0.8361233407060237,-0.5596416722546481,False,True,True,False,False,28.114734649658203,8328.8076171875
15,0.15,325980000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.5028176196854,260.29619852754854,-0.64321992944083,-0.07399997129724248,2.8792665123461405,0.05269478560181569,-0.0877389497357004,2.444741285897345,-1.7,0.0,0.10131261039729833,0.06435235822052822,-0.030139370739942044,0.1316000020364673,-0.0025111995492850675,-0.8761572813298073,False,True,True,True,False,27.08795738220215,8329.078125
16,0.159,325989000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.54200940934334,260.2638556723934,-0.6424559569328785,-0.07336950628447199,2.8792170881023864,0.05316958812399299,-0.08757134173220611,2.4371200062738505,-1.7,0.0,0.10479688939450163,0.0946679279960932,-0.04197221023038286,0.05122123541231722,-0.09468534662192166,-0.9184223509966487,False,True,True,True,False,21.85475730895996,8329.296875
17,0.168,325998000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.57391608313398,260.22659651570655,-0.6418339944808193,-0.07264320693385104,2.879171863264706,0.05330370435174444,-0.0871773675902913,2.4299060389875136,-1.7,0.0,0.09093709532946469,0.09242535849210572,-0.04518421499522974,0.011912831223187106,-0.12771888287890593,-0.8821166087036652,False,True,True,True,False,23.879655838012695,8329.5361328125
18,0.18,326010000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.60280841652036,260.1844674129647,-0.6412707911009672,-0.07182197686091125,2.8791663154088702,0.053226641973231674,-0.08678914495654397,2.4208678668270704,-1.7,0.0,0.06780680498866892,0.06484358783912478,-0.05057651580766911,-0.018588856886831137,-0.1577245886297299,-0.7768990955108516,False,True,True,True,False,20.7330379486084,8329.7431640625
19,0.189,326019000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.61528153956252,260.1605170579398,-0.6410276503009256,-0.07135510834190656,2.8791689867958095,0.05311324086087269,-0.08648274696660363,2.4148314520143135,-1.7,0.0,0.04758333963809766,0.04268724727109378,-0.0537500704017751,-0.01554101634364307,-0.17016801987492888,-0.6595047375492121,False,True,True,True,False,20.876811981201172,8329.9521484375
20,0.198,326028000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.62218415715705,260.14515483976885,-0.6408930963517143,-0.07105564989802846,2.8791423736203723,0.05261141684694896,-0.08600541444766004,2.4092071294197246,-1.7,0.0,0.02247645398619049,0.018984512745089978,-0.05262605839371098,-0.031855801544034903,-0.16442090987559513,-0.5882877563846362,False,True,True,True,False,24.799057006835938,8330.2001953125
21,0.21,326040000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.62336474720698,260.13824332915635,-0.640870082900449,-0.07092092259564099,2.87911352932324,0.05173284791436781,-0.08491167687314871,2.401914276421713,-1.7,0.0,0.006771861368433156,0.0005468530755818662,-0.05292577135995877,-0.040449268945261935,-0.1855837810222444,-0.5604937752801907,False,True,True,True,False,26.478395462036133,8330.46484375
22,0.219,326049000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.622456788805,260.1388746580027,-0.6408877818946394,-0.0709332292008328,2.879099116377884,0.05095861002955654,-0.08373583918935637,2.396497292708759,-1.7,0.0,0.0031281207274351033,-0.0066624717660526194,-0.0545991706696065,-0.043326710551744405,-0.20269607992766003,-0.5484359355841806,False,True,True,True,False,26.9874324798584,8330.734375
23,0.228,326058000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.621255768943,260.142277795251,-0.640911193587856,-0.07099956715888954,2.8790848942958727,0.050094067027132545,-0.08238087514492068,2.391118163852546,-1.7,0.0,-0.001892635988238106,-0.011183251034599894,-0.056609875296825686,-0.044961843468413004,-0.19290369107642294,-0.5334070680924182,False,True,True,False,False,25.597126007080078,8330.990234375
24,0.24,326070000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.61827563810095,260.1489576191492,-0.640969285806999,-0.07112977815105656,2.879072587348288,0.04907003550532437,-0.080701173373973,2.3840404409597444,-1.7,0.0,-0.00390986950572756,-0.01357020682820755,-0.059196623573721116,-0.03745756690178875,-0.16671443972819236,-0.514341739983574,False,True,True,False,False,26.77819061279297,8331.2578125
25,0.249,326079000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.61615335943014,260.1547470337934,-0.6410106557615954,-0.07124263223768743,2.8790612089287544,0.04837659917764013,-0.07957949839302346,2.3787950383144594,-1.7,0.0,-0.003654128693215474,-0.015201756039475729,-0.059713809477351595,-0.03515613727686323,-0.15225356734810438,-0.5094744977010005,False,True,True,False,False,28.271425247192383,8331.5400390625
26,0.258,326088000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.61393009753385,260.1612128590408,-0.6410539942001201,-0.07136867171619507,2.879052654362452,0.04775818186878959,-0.0785825328138539,2.3735546585763427,-1.7,0.0,-0.00409894258272149,-0.01682594224752325,-0.05984085278854749,-0.03319297308920008,-0.13551532565644214,-0.50426790306497,False,True,True,False,False,27.8752384185791,8331.818359375
27,0.27,326100000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.6104789790178,260.1708010366061,-0.6411212674655392,-0.07155557576230229,2.879040198663566,0.04705401560358102,-0.07746573331719793,2.3665851371056137,-1.7,0.0,-0.005304633662180414,-0.01886525181239119,-0.05954197350507352,-0.03049678523426601,-0.11128299460534288,-0.5011012223501192,False,True,True,False,False,28.365806579589844,8332.1015625
28,0.279,326109000000,221.32106935486402,260.1207802240242,-0.68574913538276761,-0.070580511189555217,0.5,223.6073852486,260.1787071351851,-0.6411815741013646,-0.07170969074434907,2.879034181703071,0.04662783559450068,-0.07678988777429549,2.36136001593927,-1.7,0.0,-0.006314415998646208,-0.02033716823131837,-0.05939124106796525,-0.027964777648406814,-0.09305942513925976,-0.4971787906265482,False,True,True,False,False,28.31744384765625,8332.384765625
