,CSV,HEIGHTMAP
0,bars1_evaluation_0.csv,bars1.png
1,bars1_evaluation_1.csv,bars1.png
2,bars1_evaluation_2.csv,bars1.png
3,bars1_evaluation_3.csv,bars1.png
4,bars1_evaluation_4.csv,bars1.png
5,bars1_evaluation_5.csv,bars1.png
6,bars1_evaluation_6.csv,bars1.png
7,bars1_evaluation_7.csv,bars1.png
8,bars1_evaluation_8.csv,bars1.png
9,bars1_evaluation_9.csv,bars1.png
10,bars1_evaluation_10.csv,bars1.png
11,bars1_evaluation_11.csv,bars1.png
12,bars1_evaluation_12.csv,bars1.png
13,bars1_evaluation_13.csv,bars1.png
14,bars1_evaluation_14.csv,bars1.png
15,bars1_evaluation_15.csv,bars1.png
16,bars1_evaluation_16.csv,bars1.png
17,bars1_evaluation_17.csv,bars1.png
18,bars1_evaluation_18.csv,bars1.png
19,bars1_evaluation_19.csv,bars1.png
