,CSV,HEIGHTMAP
0,bars1_training_0.csv,bars1.png
1,bars1_training_1.csv,bars1.png
2,bars1_training_2.csv,bars1.png
3,bars1_training_3.csv,bars1.png
4,bars1_training_4.csv,bars1.png
5,bars1_training_5.csv,bars1.png
6,bars1_training_6.csv,bars1.png
7,bars1_training_7.csv,bars1.png
8,bars1_training_8.csv,bars1.png
9,bars1_training_9.csv,bars1.png
10,bars1_training_10.csv,bars1.png
11,bars1_training_12.csv,bars1.png
12,bars1_training_13.csv,bars1.png
13,bars1_training_15.csv,bars1.png
14,bars1_training_16.csv,bars1.png
15,bars1_training_17.csv,bars1.png
16,bars1_training_18.csv,bars1.png
17,bars1_training_19.csv,bars1.png
