,CSV,HEIGHTMAP
0,bumps1_training_0.csv,bumps1.png
1,bumps1_training_1.csv,bumps1.png
2,bumps1_training_2.csv,bumps1.png
3,bumps1_training_3.csv,bumps1.png
4,bumps1_training_4.csv,bumps1.png
5,bumps1_training_5.csv,bumps1.png
6,bumps1_training_6.csv,bumps1.png
7,bumps1_training_7.csv,bumps1.png
8,bumps1_training_8.csv,bumps1.png
9,bumps1_training_9.csv,bumps1.png
10,bumps1_training_10.csv,bumps1.png
11,bumps1_training_11.csv,bumps1.png
12,bumps1_training_12.csv,bumps1.png
13,bumps1_training_13.csv,bumps1.png
14,bumps1_training_14.csv,bumps1.png
15,bumps1_training_15.csv,bumps1.png
16,bumps1_training_16.csv,bumps1.png
17,bumps1_training_17.csv,bumps1.png
18,bumps1_training_18.csv,bumps1.png
