,CSV,HEIGHTMAP
0,gravelpit1_real_evaluation_0.csv,gravelpit1.png
1,gravelpit1_real_evaluation_1.csv,gravelpit1.png
2,gravelpit1_real_evaluation_2.csv,gravelpit1.png
3,gravelpit1_real_evaluation_3.csv,gravelpit1.png
4,gravelpit1_real_evaluation_4.csv,gravelpit1.png
5,gravelpit1_real_evaluation_5.csv,gravelpit1.png
6,gravelpit1_real_evaluation_6.csv,gravelpit1.png
7,gravelpit1_real_evaluation_7.csv,gravelpit1.png
8,gravelpit1_real_evaluation_8.csv,gravelpit1.png
9,gravelpit1_real_evaluation_9.csv,gravelpit1.png
10,gravelpit1_real_evaluation_10.csv,gravelpit1.png
11,gravelpit1_real_evaluation_11.csv,gravelpit1.png
12,gravelpit1_real_evaluation_12.csv,gravelpit1.png
13,gravelpit1_real_evaluation_13.csv,gravelpit1.png
14,gravelpit1_real_evaluation_14.csv,gravelpit1.png
15,gravelpit1_real_evaluation_15.csv,gravelpit1.png
16,gravelpit1_real_evaluation_16.csv,gravelpit1.png
17,gravelpit1_real_evaluation_17.csv,gravelpit1.png
18,gravelpit1_real_evaluation_18.csv,gravelpit1.png
19,gravelpit1_real_evaluation_19.csv,gravelpit1.png
20,gravelpit1_real_evaluation_20.csv,gravelpit1.png
21,gravelpit1_real_evaluation_21.csv,gravelpit1.png
22,gravelpit1_real_evaluation_22.csv,gravelpit1.png
23,gravelpit1_real_evaluation_23.csv,gravelpit1.png
24,gravelpit1_real_evaluation_24.csv,gravelpit1.png
25,gravelpit1_real_evaluation_25.csv,gravelpit1.png
26,gravelpit1_real_evaluation_26.csv,gravelpit1.png
27,gravelpit1_real_evaluation_27.csv,gravelpit1.png
28,gravelpit1_real_evaluation_28.csv,gravelpit1.png
29,gravelpit1_real_evaluation_29.csv,gravelpit1.png
