ID,CSV,HEIGHTMAP
0,bars1_evaluation_0.csv,bars1.png
1,bars1_evaluation_1.csv,bars1.png
2,bars1_evaluation_2.csv,bars1.png
3,bars1_evaluation_3.csv,bars1.png
4,bars1_evaluation_4.csv,bars1.png
5,bars1_evaluation_5.csv,bars1.png
6,bars1_evaluation_6.csv,bars1.png
7,bars1_evaluation_7.csv,bars1.png
8,bars1_evaluation_8.csv,bars1.png
9,bars1_evaluation_9.csv,bars1.png
10,bars1_evaluation_10.csv,bars1.png
11,bars1_evaluation_11.csv,bars1.png
12,bars1_evaluation_12.csv,bars1.png
13,bars1_evaluation_13.csv,bars1.png
14,bars1_evaluation_14.csv,bars1.png
15,bars1_evaluation_15.csv,bars1.png
16,bars1_evaluation_16.csv,bars1.png
17,bars1_evaluation_17.csv,bars1.png
18,bars1_evaluation_18.csv,bars1.png
19,bars1_evaluation_19.csv,bars1.png
20,bumps1_evaluation_0.csv,bumps1.png
21,bumps1_evaluation_1.csv,bumps1.png
22,bumps1_evaluation_2.csv,bumps1.png
23,bumps1_evaluation_3.csv,bumps1.png
24,bumps1_evaluation_4.csv,bumps1.png
25,bumps1_evaluation_5.csv,bumps1.png
26,bumps1_evaluation_6.csv,bumps1.png
27,bumps1_evaluation_7.csv,bumps1.png
28,bumps1_evaluation_8.csv,bumps1.png
29,bumps1_evaluation_9.csv,bumps1.png
30,slope_rocks1_evaluation_0.csv,slope_rocks1.png
31,slope_rocks1_evaluation_1.csv,slope_rocks1.png
32,slope_rocks1_evaluation_2.csv,slope_rocks1.png
33,slope_rocks1_evaluation_3.csv,slope_rocks1.png
34,slope_rocks1_evaluation_4.csv,slope_rocks1.png
35,slope_rocks1_evaluation_5.csv,slope_rocks1.png
36,slope_rocks1_evaluation_6.csv,slope_rocks1.png
37,slope_rocks1_evaluation_7.csv,slope_rocks1.png
38,slope_rocks1_evaluation_8.csv,slope_rocks1.png
39,slope_rocks1_evaluation_9.csv,slope_rocks1.png
40,slope_rocks1_evaluation_10.csv,slope_rocks1.png
41,slope_rocks1_evaluation_11.csv,slope_rocks1.png
42,slope_rocks1_evaluation_12.csv,slope_rocks1.png
43,slope_rocks1_evaluation_13.csv,slope_rocks1.png
44,slope_rocks1_evaluation_14.csv,slope_rocks1.png
45,slope_rocks1_evaluation_15.csv,slope_rocks1.png
46,slope_rocks1_evaluation_16.csv,slope_rocks1.png
47,slope_rocks1_evaluation_17.csv,slope_rocks1.png
48,slope_rocks1_evaluation_18.csv,slope_rocks1.png
49,slope_rocks1_evaluation_19.csv,slope_rocks1.png
50,slope_rocks2_evaluation_0.csv,slope_rocks2.png
51,slope_rocks2_evaluation_1.csv,slope_rocks2.png
52,slope_rocks2_evaluation_2.csv,slope_rocks2.png
53,slope_rocks2_evaluation_3.csv,slope_rocks2.png
54,slope_rocks2_evaluation_4.csv,slope_rocks2.png
55,slope_rocks2_evaluation_5.csv,slope_rocks2.png
56,slope_rocks2_evaluation_6.csv,slope_rocks2.png
57,slope_rocks2_evaluation_7.csv,slope_rocks2.png
58,slope_rocks2_evaluation_8.csv,slope_rocks2.png
59,slope_rocks2_evaluation_9.csv,slope_rocks2.png
60,slope_rocks2_evaluation_10.csv,slope_rocks2.png
61,slope_rocks2_evaluation_11.csv,slope_rocks2.png
62,slope_rocks2_evaluation_12.csv,slope_rocks2.png
63,slope_rocks2_evaluation_13.csv,slope_rocks2.png
64,slope_rocks2_evaluation_14.csv,slope_rocks2.png
65,slope_rocks2_evaluation_15.csv,slope_rocks2.png
66,slope_rocks2_evaluation_16.csv,slope_rocks2.png
67,slope_rocks2_evaluation_17.csv,slope_rocks2.png
68,slope_rocks2_evaluation_18.csv,slope_rocks2.png
69,slope_rocks2_evaluation_19.csv,slope_rocks2.png
70,steps1_evaluation_1.csv,steps1.png
71,steps1_evaluation_2.csv,steps1.png
72,steps1_evaluation_3.csv,steps1.png
73,steps1_evaluation_4.csv,steps1.png
74,steps1_evaluation_5.csv,steps1.png
75,steps1_evaluation_6.csv,steps1.png
76,steps1_evaluation_8.csv,steps1.png
77,steps1_evaluation_9.csv,steps1.png
