,CSV,HEIGHTMAP
0,slope_rocks2_evaluation_0.csv,slope_rocks2.png
1,slope_rocks2_evaluation_1.csv,slope_rocks2.png
2,slope_rocks2_evaluation_2.csv,slope_rocks2.png
3,slope_rocks2_evaluation_3.csv,slope_rocks2.png
4,slope_rocks2_evaluation_4.csv,slope_rocks2.png
5,slope_rocks2_evaluation_5.csv,slope_rocks2.png
6,slope_rocks2_evaluation_6.csv,slope_rocks2.png
7,slope_rocks2_evaluation_7.csv,slope_rocks2.png
8,slope_rocks2_evaluation_8.csv,slope_rocks2.png
9,slope_rocks2_evaluation_9.csv,slope_rocks2.png
10,slope_rocks2_evaluation_10.csv,slope_rocks2.png
11,slope_rocks2_evaluation_11.csv,slope_rocks2.png
12,slope_rocks2_evaluation_12.csv,slope_rocks2.png
13,slope_rocks2_evaluation_13.csv,slope_rocks2.png
14,slope_rocks2_evaluation_14.csv,slope_rocks2.png
15,slope_rocks2_evaluation_15.csv,slope_rocks2.png
16,slope_rocks2_evaluation_16.csv,slope_rocks2.png
17,slope_rocks2_evaluation_17.csv,slope_rocks2.png
18,slope_rocks2_evaluation_18.csv,slope_rocks2.png
19,slope_rocks2_evaluation_19.csv,slope_rocks2.png
