,CSV,HEIGHTMAP
0,slope_rocks2_training_0.csv,slope_rocks2.png
1,slope_rocks2_training_1.csv,slope_rocks2.png
2,slope_rocks2_training_2.csv,slope_rocks2.png
3,slope_rocks2_training_3.csv,slope_rocks2.png
4,slope_rocks2_training_4.csv,slope_rocks2.png
5,slope_rocks2_training_5.csv,slope_rocks2.png
6,slope_rocks2_training_6.csv,slope_rocks2.png
7,slope_rocks2_training_7.csv,slope_rocks2.png
8,slope_rocks2_training_8.csv,slope_rocks2.png
9,slope_rocks2_training_9.csv,slope_rocks2.png
10,slope_rocks2_training_10.csv,slope_rocks2.png
11,slope_rocks2_training_12.csv,slope_rocks2.png
12,slope_rocks2_training_13.csv,slope_rocks2.png
13,slope_rocks2_training_14.csv,slope_rocks2.png
14,slope_rocks2_training_15.csv,slope_rocks2.png
15,slope_rocks2_training_16.csv,slope_rocks2.png
16,slope_rocks2_training_17.csv,slope_rocks2.png
17,slope_rocks2_training_18.csv,slope_rocks2.png
18,slope_rocks2_training_19.csv,slope_rocks2.png
