,CSV,HEIGHTMAP
0,steps1_training_0.csv,steps1.png
1,steps1_training_1.csv,steps1.png
2,steps1_training_2.csv,steps1.png
3,steps1_training_3.csv,steps1.png
4,steps1_training_4.csv,steps1.png
5,steps1_training_5.csv,steps1.png
6,steps1_training_6.csv,steps1.png
7,steps1_training_7.csv,steps1.png
8,steps1_training_8.csv,steps1.png
9,steps1_training_9.csv,steps1.png
10,steps1_training_10.csv,steps1.png
11,steps1_training_11.csv,steps1.png
12,steps1_training_12.csv,steps1.png
13,steps1_training_13.csv,steps1.png
14,steps1_training_14.csv,steps1.png
15,steps1_training_15.csv,steps1.png
16,steps1_training_16.csv,steps1.png
17,steps1_training_18.csv,steps1.png
18,steps1_training_19.csv,steps1.png
